place_id,nombre,rating,reseñas,price_level,lat,lon,address,types
ChIJsSs3A5OaP44RNMEwglGrA4o,Barber Shave Club,4.7,702,,4.6792541,-74.05085629999999,"Cl 93b #15 - 34 Local 209, Chapinero, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJ_fiPyQedP44RYzR9Avt-pkA,️LA BARBERÍA BOGOTÁ,4.8,709,,4.6659864,-74.1266649,"Cra. 82 #22f-19, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ9XlQnTSaP44RChCRnYcbbbY,Bastards Barbería Bogotá,4.8,758,,4.641588,-74.0744233,"Cra. 25 #52a-22, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJZ-JsZ7ybP44RSrpfs8dthDY,Don vito barbería,5.0,533,,4.674526,-74.052776,"Ak 15 #90-20, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJa28mHxqfP44Rzhof6xbAEF0,BARBER TRAINING BOGOTÁ,4.9,127,,4.6209109,-74.12729829999999,"Cl. 1 Sur n 68 b 36, Bogotá","hair_care,school,health,point_of_interest,establishment"
ChIJNeDAYluFP44RUK5IBAXNE-8,Gentleman's Barbería Tradicional | Cedritos La mejor barbería,4.9,1359,,4.720466399999999,-74.039619,"Cl. 140 #12b-71 Piso 2, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJEaepqDSaP44R8xL09kO-rSE,Don Juan Barberia Bogota,4.8,300,,4.641070399999999,-74.07125409999999,"Cra 20 #52 A 16, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJt52c6baaP44RrKWii56X6pM,The LEONE Barbershop (Antes Corleone Barbería),4.9,1590,,4.7012262,-74.04921519999999,"Cra 19 #120-60, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJf_vPejKFP44RO2srtGJ0IC8,Tequm Traditional Barbershop - Barbería Bogotá,5.0,49,,4.7237291,-74.0444729,"Cl. 142 #17a-09, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJH3x3U5OFP44RbCmMjKC1h6Q,Barber Room | Barberia en Bogota,4.8,320,,4.7659867,-74.0471656,"Carrera 54d #187 - 22 Cc Mirandela Plaza Local 202, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJbeAnYgmFP44R3T9euVjgvwg,Brooklyn Barberia,4.7,81,,4.7427736,-74.0595112,"Cl. 160 #56 a 11, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ_YwaIK-FP44RFOx5Z8I43m8,Djd,5.0,81,,4.7272177,-74.0624385,"Cl. 138 #56A 29, Suba, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJSVboF5mdP44Rp70Wu4WwhvY,The Barber's Legacy Gentlemen's Club,4.5,102,,4.6457381,-74.0923561,"Cl. 44 #54-20, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJkxcIc4KZP44RHuACkLRYYt0,Barbería Downtown Barbershop,5.0,51,,4.6000524,-74.10899250000001,"Cl. 8 Sur #32a-13, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJqafOlYqaP44RaVP5r2I4sVA,La Barbería,4.5,257,,4.670038900000001,-74.0534231,"Kr 13 #85 - 65 Piso 7, Bogotá","hair_care,spa,health,point_of_interest,establishment"
ChIJuT_cG7uFP44Roeo_kAYvEIA,Fígaro Barbershop Cedritos,4.4,85,,4.7195715,-74.0366277,"C.C Puerta del Sol, Cl. 140 #11-58 local 5, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJSY5Cid-bP44ROaw7OFUqdGw,El Cielo barbershop,4.9,711,,4.6832145,-74.1164216,"Av Ciudad de Cali #55 A 75, Engativá, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJdW89WtuaP44R9GGhtdJoRnk,CAPITÁN BARBAS Barbería y Tienda,4.8,582,,4.6918562,-74.0661215,"Cl. 104 #59-07 Local 2, Suba, Bogotá, Cundinamarca","beauty_salon,hair_care,health,point_of_interest,store,establishment"
ChIJ2Z_E67GaP44RN2B_qtgrmis,Figaro Barbershop 119,4.5,283,,4.6999699,-74.0427624,"Ak 15 #119-60, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJPwex_TmZP44RvOtUeQwrv-o,Gentle·man Home,4.4,294,,4.6032791,-74.1120983,"Cl. 8 Sur # 37-42, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ7wjdMrqaP44RjiMC_vVP3mg,Mad Men Barber Shop,4.7,426,,4.6935654,-74.0466819,"Cl. 109 #16-42, Usaquén, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJbTvTW_WaP44Rt8z1HysGzM8,Mr Barber Club,4.5,196,,4.666504499999999,-74.0544767,"Cl. 82 #12-35, Chapinero, Bogotá, Cundinamarca","hair_care,bar,health,point_of_interest,establishment"
ChIJO0UqRaybP44RtFVT1o_2PnU,Sailor Cut - Barberia Club Bogota,5.0,296,,4.6676531,-74.0563045,"110221, Cl. 82 #14 a 17, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ--P9NKqbP44RSpNcsZwewys,Barbería La Mafia,4.7,43,,4.678315899999999,-74.093788,"Cra. 69k #67-53, Engativá, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJk_Px2FuFP44ReBECfY-fi7g,Philadelphia BARBER SHOP,4.3,125,,4.7188549,-74.0356807,"Cl. 140 #11-21, Usaquén, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJv-wsYDqZP44RzbH7l21vuD4,Cavalier barbería clásica Calle 40,4.9,537,,4.6287097,-74.0668626,"Kr 13 #40c 20, Chapinero, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJAYDYiSWFP44RQOIRjF1yBPc,Barber-Man,4.5,513,,4.7163353,-74.0693964,"Cra. 58 #128b-14, Bogotá","hair_care,bar,health,point_of_interest,establishment"
ChIJk6E_e0qZP44RQkTL5ARLMiY,Cavalier Barbería Clásica,4.9,501,,4.620065299999999,-74.0696454,"Cra. 13a #32-67 local 8, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJsz9IarKaP44RpOul56tX7KM,BARBER OF KINGS COLOMBIA,5.0,176,,4.7022026,-74.0433889,"Edificio Jorge Barón TV, Cl. 124 #15-29 Torre ""A"" Oficina 206, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJt4kyM6CfP44R4SgLEdnKd8w,Barbería Legendarios,5.0,181,,4.6632801,-74.05739319999999,"Kr 13 #77-45, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ4Q9koYSFP44R3MY9rXy6DD0,FLOW DC BARBER / BARBERIA,5.0,6,,4.7655923,-74.04718869999999,"Cl. 187 #49-64 LOCAL 2-27 SEGUNDO PISO, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJlfgTox-ZP44Rht6Sx77Gj2M,Barber Club Lobo Rojo Studio,5.0,310,,4.619674400000001,-74.0687701,"Cl 32 Bis A #13 - 12, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ9y9ZE9SbP44RXIr_couS1n8,Fabric Barberia Universidad Nacional,4.6,455,,4.631226000000001,-74.081544,"Cra. 33 #28-27, Bogotá","hair_care,beauty_salon,spa,health,point_of_interest,establishment"
ChIJ-TSJf9ubP44RypH00D46518,Barberia american style,4.6,59,,4.6856041,-74.0658298,"Cra. 60 #97-2 a 97-98, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJj5Ebwy-aP44RzFA7zpBMElI,305 Barber Company,4.6,316,,4.601814200000001,-74.06910789999999,"Cra. 3 #17-33 Piso 2, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJrcUTBOubP44Rl517EKsf0eo,VIKINGS BARBER SHOP,4.7,229,,4.669607699999999,-74.0553353,"Ak 15 #84a - 18, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJk2uWx0OFP44Ru5N8od7nZmQ,The Barbas Barber Shop - Barberia Tradicional,4.6,252,,4.7226438,-74.0461926,"Cra 19 # 138-44 local 201, Bogotá","hair_care,bar,health,point_of_interest,establishment"
ChIJJb17FvibP44REZXXmM6gbD8,Rústico barber shop,4.8,162,,4.664327699999999,-74.0565573,"Kr 13 #78-17, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJE2MdQYybP44RpPUuUusQ8f0,Fratello Barberia,4.6,61,,4.6844424,-74.06145,"Cra. 49 #9513, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJoSIVJL-bP44RJRaguTyZ5tc,Cinema Barberia,4.5,266,,4.6464128,-74.0618471,"Cra. 9 #60-70, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ0fy8lzmbP44RfVjQWsm0IGg,Lord Barber Club - Barberia sede Galerias,4.7,137,,4.641096999999999,-74.0742684,"Cra. 24 #52-33, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJnUoS366aP44RDaMsFRV39mA,Mustaches Barbería 119,4.7,373,,4.698259699999999,-74.0371826,"Cl. 119 #11b 05, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ5_0WJVmEP44RQPrSTjO7dts,CLUBMAN'S BARBERÍA,4.8,473,,4.742368,-74.08596500000002,"Cl. 147 #94A 12, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJH0Br9KieP44Rkseee-CPdik,Fabric Barberia Mundo Aventura,4.6,397,,4.6255732,-74.1339963,"Ac. 3 #71A-12, Hipotecho, Bogotá","hair_care,beauty_salon,spa,health,point_of_interest,establishment"
ChIJM1yuBPWaP44RYPdQY1t34WM,Cut Club,4.7,316,,4.668349399999999,-74.0556672,"Cl. 83 #14A-09, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJlT_r7RGbP44RjJCXKxGVckc,Barbería Cristian Ortiz Street Barber,4.9,140,,4.6781128,-74.093822,"Bogotá, Bogota","hair_care,health,point_of_interest,establishment"
ChIJJ7pKZCaFP44R8oFu0Vqt_Dw,BARBERÍA 501 - CEDRITOS,4.9,188,,4.7260856,-74.0381539,"Cl. 145a #13-26, Usaquén, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJZSRzUIePP44R08tVaLhJGKY,Jósan Barberia,4.2,41,,4.739866699999999,-74.0293536,"Cl. 163a #8f-05, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJhdLD17aFP44R2S1yCSMRU7M,Diego Neira Barber Calle 165,4.8,467,,4.7431245,-74.0332737,"Cl. 165 #13a 15 segundo piso, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJOcC5zXibP44RADh4pR61_C0,Barbería The Barbarians Bogotá,4.6,210,,4.693762599999999,-74.0785076,"centro empresarial Vardí, Cl. 98 #70 - 91, Suba, Bogotá, Cundinamarca","store,point_of_interest,establishment"
ChIJzcGZ-SKbP44RYjLD5AKWDAw,Supreme Barber Shop,4.4,40,,4.6648051,-74.0600821,"Cl. 77 #16a-56, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJRYZJFhyRP44RyvFlQJh9Amk,Morrison Club DC,4.6,246,,4.6952486,-74.0296401,"Cl. 119 #05-14, Bogotá","art_gallery,meal_delivery,hair_care,bar,restaurant,food,health,point_of_interest,establishment"
ChIJAy0DC76aP44Ro4lDtBLWDQI,JOSEPP PELUQUERIA HAIR & NAILS - BARBERIA,4.5,140,,4.6872627,-74.0478942,"Ak 15 #102-09, Usaquén, Bogotá, Cundinamarca","hair_care,beauty_salon,health,point_of_interest,establishment"
ChIJaSqDSESaP44R8JyqbKwbqiM,Figaro Barber Shop - Barbería Calle 67,4.4,535,,4.6530688,-74.0616089,"Cl. 67 #11-22, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJaWKBRKSbP44RXmJuz6H1uvU,KingsMen Barber Shop,4.8,484,,4.6537793,-74.0556857,"Ak 7 No. 70a-20, Rosales, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ4-WFJVmbP44R4uQcqIGPO_4,Barbería All Handmade,4.9,132,,4.6327807,-74.0636324,"Ak 7 #46 20 Local 6, Chapinero, Bogotá, Cundinamarca","hair_care,health,point_of_interest,establishment"
ChIJAx5P8Y-bP44R4X7Dt14S0v8,Mustaches Barbería Tradicional Salitre,4.6,422,,4.657204699999999,-74.1136114,"Ac. 24 #69c-53, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJ-xA7Ny-aP44RuzZkeNXCCC0,BAD BOYS CLL 45,4.4,233,,4.6322436,-74.0670121,"Cl. 45 #13-41, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJdXcaVRyFP44ROfyBX0th_YQ,Barberia Full HD,4.5,22,,4.7643547,-74.0365364,"Cl. 187 #15a-69, Bogotá","hair_care,health,point_of_interest,establishment"
ChIJG5ZmLFGbP44RaFMTR1ttnp8,Pompilios Barber Club,4.8,230,,4.6741891,-74.0529522,"Cl. 90 #14-45, Bogotá","hair_care,health,point_of_interest,establishment"
